no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
114,31,บุรีรัมย์,พุทไธสง,02986,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านม่วงใต้ ตำบลมะเฟือง,583,54,54,,,,,,,,,,,,,,,,,,,
115,31,บุรีรัมย์,พุทไธสง,02991,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหายโศก ตำบลหายโศก,1253,60,58,,,,,,,,,,,,,,,,,,,
116,31,บุรีรัมย์,พุทไธสง,02990,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเพียแก้ว ตำบลบ้านยาง,1592,16,16,,,,,,,,,,,,,,,,,,,
117,31,บุรีรัมย์,พุทไธสง,02989,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแวง ตำบลบ้านแวง,1186,80,79,,1,1,0,1,,,,,,,,,,,,,,
118,31,บุรีรัมย์,พุทไธสง,02988,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแฮด ตำบลบ้านเป้า,1281,340,327,,13,13,0,13,0,13,0,,,,,,,,,,,
119,31,บุรีรัมย์,ละหานทราย,02952,2569,สถานีอนามัยหนองตาเยา ตำบลหนองแวง,296,0,,,,,,,,,,,,,,,,,,,,
120,31,บุรีรัมย์,ละหานทราย,02951,2569,สถานีอนามัยหนองหว้า ตำบลหนองแวง,297,1,1,,0,,,,,,,,,,,,,,,,,
121,31,บุรีรัมย์,ละหานทราย,02946,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตาจง ตำบลตาจง,2068,1566,1563,,3,3,0,0,0,0,0,,,,,,,,,,,
122,31,บุรีรัมย์,ละหานทราย,13839,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยางโป่งสะเดา ตำบลตาจง,820,18,14,,4,3,1,1,0,1,0,,,,,,,,,,,
123,31,บุรีรัมย์,ละหานทราย,02954,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านราษฎร์รักแดน ตำบลหนองแวง,387,380,380,,0,380,0,0,0,0,0,,,,,,,,,,,
124,31,บุรีรัมย์,ละหานทราย,02953,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศรีทายาท ตำบลหนองแวง,556,8,4,,4,,,,,,,,,,,,,,,,,
